"Row.names","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL"
"ILMN_1671217",8069.93445578232,22248.3633673469,4.1136399707896,0.00149021593458962,0.629621535190231,-4.20067400112996,"RPS15"
"ILMN_1656962",8066.48279251702,18423.8494540816,3.55279841474726,0.00408243275090363,0.629621535190231,-4.25849000165148,"RPS15"
"ILMN_1672503",-7944.36120646258,10191.8403821429,-2.7518918339308,0.0177920537876577,0.644896294535245,-4.35794370833756,"DPYSL2"
"ILMN_3274601",7777.76397959185,25769.6220408163,2.23526619055874,0.0455564298449337,0.693292474016127,-4.43075875540094,"RPS2"
"ILMN_3301468",7734.1405782313,37149.4104081633,2.35946825129131,0.03643279041466,0.690881794755157,-4.41284375436847,NA
"ILMN_1673352",7307.00782312926,15412.7300918367,3.87863542745877,0.00226485627536073,0.629621535190231,-4.22371324944641,"IFITM2"
"ILMN_1773080",-7045.24343537414,31102.420255102,-3.1648155452743,0.00831314810875707,0.634334320935891,-4.304263997952,"OAZ1"
"ILMN_2308582",-6797.49761224489,19875.3104387755,-2.53396490503715,0.0265314178679739,0.669072375459399,-4.38805241233079,"CYB5R3"
"ILMN_3176040",-6761.17948979592,21604.485,-3.31872382246727,0.00626411259644669,0.629621535190231,-4.28554210150536,"RPS27A"
"ILMN_1674385",-6743.20641496598,10168.9529846939,-3.83044708895118,0.00246957622339564,0.629621535190231,-4.22864674247526,"YWHAQ"
"ILMN_3251404",6686.6798367347,11982.4532295918,3.04047939183722,0.0104536869946962,0.638201583965971,-4.31991521068444,"NUCKS1"
"ILMN_2380946",-6638.66529931972,12876.0256989796,-2.9496796140984,0.0123589242942355,0.638656362345239,-4.33163193468503,"EIF4G2"
"ILMN_2124769",6637.27126190477,11319.716377551,2.94782450408803,0.0124012711606464,0.638656362345239,-4.33187377315185,"YBX1"
"ILMN_1811468",6632.34273809524,7679.18290306123,3.97959205453278,0.00189074282866653,0.629621535190231,-4.21360977627975,"IRX3"
"ILMN_1665865",6523.54517346939,14533.6313010204,2.43590133332214,0.0317200884190961,0.683894052671698,-4.40192145808603,"IGFBP4"
"ILMN_1668374",-6408.68248639455,11092.0578418367,-3.44815068142951,0.00494161545980158,0.629621535190231,-4.27037030545681,"ITGB5"
"ILMN_1805750",6338.99159863946,13721.8849183673,3.59655578597508,0.00376993183079821,0.629621535190231,-4.2536252210209,"IFITM3"
"ILMN_3246360",-6069.16485034014,14817.5252295918,-2.44301023807101,0.0313130025283631,0.682372142275145,-4.40091030684955,"RPS18"
"ILMN_1669424",6005.90756462586,12056.18475,3.20019505112469,0.00778897307969232,0.634334320935891,-4.29989571350562,"YBX1"
"ILMN_1693338",-5965.45230952381,11138.3946581633,-2.2660464285633,0.0431107815328409,0.693010005530554,-4.42630289113652,"CYP1B1"
"ILMN_2188264",-5892.73367006802,11977.8659336735,-2.71866531182006,0.0189129693144643,0.651430800127597,-4.36246339718885,"CCN1"
"ILMN_3280019",5881.66365986395,8522.23876020408,2.37930696181563,0.0351484861924198,0.686477978570018,-4.41000030296338,"RPL12"
"ILMN_1687858",-5872.32214965986,12614.1121428571,-3.11185452694882,0.00916502769968864,0.634334320935891,-4.31087408358122,"CALM2"
"ILMN_1652230",-5791.39601700681,15461.6201377551,-2.33254834316208,0.0382478549101742,0.693010005530554,-4.41671089396167,"RPS29"
"ILMN_2058337",5743.57476190477,38064.1026530612,2.30061935659327,0.0405132167310875,0.693010005530554,-4.42130974806488,"ROCK2"
"ILMN_2115125",-5723.35495578231,10568.5964336735,-3.05117028588587,0.0102496625586055,0.63495626375109,-4.31855139666319,"CCN2"
"ILMN_1725427",-5674.61302721088,9700.43323469388,-2.23241218131832,0.0457897686765363,0.693462027278416,-4.43117236723788,"B2M"
"ILMN_2383934",-5668.10923809523,11296.1621377551,-2.79411747666114,0.0164618509351962,0.643050954998003,-4.35223972584498,"ITGB1"
